SGP_VRaw,SGP_NRaw,SGP_Vin,SGP_Nin,STC_CO2,STC_Temp,ENS_VOC,MiCO,MiNO2,MiNH3,GMVOC,GMODO,GMSMO,GMETH,GMH2S,Label
19536,8214,100,1,-8.37,0,46,4523,13040,264,1469,32767,12848,14213,17978,3
19545,8218,100,1,-8.61,0,45,4532,13053,264,1471,32767,12863,14257,17989,3
19547,8222,100,1,-8.58,0,44,4500,13065,265,1473,32767,12873,14279,17997,3
19563,8209,100,1,-8.64,0,34,4459,13072,264,1472,32767,12885,14279,18000,3
19557,8212,100,1,-8.69,0,39,4430,13074,264,1471,32767,12893,14284,18006,3
19547,8216,100,1,-8.73,0,38,4423,13076,263,1470,32767,12899,14299,18011,3
19554,8219,100,1,-8.4,0,49,4423,13076,263,1470,32767,12910,14308,18019,3
19549,8218,100,1,-8.35,0,43,4414,13080,263,1470,32767,12917,14290,18024,3
19554,8218,100,1,-8.47,0,48,4381,13077,263,1468,32767,12920,14247,18021,3
19543,8216,100,1,-8.25,0,45,4345,13071,262,1467,32767,12923,14210,18029,3
19542,8211,100,1,-8.48,0,49,4320,13066,261,1464,32767,12925,14177,18030,3
19534,8217,100,1,-8.47,0,54,4317,13059,261,1464,32767,12923,14152,18034,3
19527,8214,100,1,-8.51,0,47,4313,13050,261,1462,32767,12911,14120,18036,3
19531,8217,100,1,-8.54,0,52,4311,13042,260,1461,32767,12890,14054,18021,3
19521,8209,100,1,-8.55,0,72,4310,13033,260,1460,32767,12897,14048,18022,3
19524,8217,100,1,-8.46,0,57,4308,13030,260,1460,32767,12906,14036,18025,3
19528,8217,100,1,-8.58,0,58,4310,13027,260,1460,32767,12917,14038,18028,3
19526,8224,100,1,-8.57,0,52,4327,13027,260,1460,32767,12924,14069,18035,3
19501,8221,100,1,-8.48,0,54,4363,13031,261,1461,32767,12933,14113,18038,3
19512,8217,100,1,-8.39,0,54,4396,13037,261,1463,32767,12941,14147,18044,3
19515,8215,100,1,-8.35,0,56,4408,13044,262,1465,32767,12941,14173,18044,3
19513,8218,100,1,-8.68,0,61,4416,13050,262,1466,32767,12950,14202,18045,3
19535,8218,100,1,-8.39,0,55,4424,13055,263,1467,32767,12955,14222,18058,3
19527,8212,100,1,-8.79,0,50,4423,13061,263,1468,32767,12958,14239,18056,3
